id,model
1,RTX 2080 TI
2,RTX 2080 
3,RTX 3070
4,RTX 3080
5,RTX 3090
6,RTX 3060
7,RTX 4000
8,RX 5700
9,RX 5600
10,RX 5500
11,RX 5800
12,GT 1030
13,GT 710
14,GTX 1660
15,GTX 1050
16,GTX 1060
17,GTX 1050 TI
18,GTX 1060 TI
19,RX VEGA 64
20,GTX 1650
21,GT 1030
22,P2200
23,P1000
24,P620
25,RX 580
26,RX 570
27,RX 550
28,GTX 1080 TI
29,GTX 1080
30,RX 6700
31,GT 730
32,RTX 2060
33,RX VEGA 56
34,RX 6900
35,RX 6800
36,RTX 5000
37,GTX 1070
38,RX 560
39,RTX A6000
40,RTX 6000
41,RTX 2070
42,RTX NVLINK
43,R7 240
44,VII
